"Nome.Carros","Quilometragem","Avaliação","Reviews","Certificado","preço.drop","preço"
"55","2015 Toyota Avalon XLE Touring","13,060 mi.",4.7,"(235 reviews)","Used","$500 price drop","$19,980"
"56","2018 Audi S4 3.0T Premium Plus","63,056 mi.",4.9,"(630 reviews)","Used","$1,000 price drop","$41,700"
"57","2016 Volvo XC60 T6 Premier Plus","21,728 mi.",4.6,"(1,811 reviews)","Used","$701 price drop","$25,990"
"58","2017 Kia Optima EX","58,777 mi.",4.1,"(882 reviews)","Used","$6,090 price drop","$17,500"
"59","2020 Porsche Macan S","30,640 mi.",3.7,"(54 reviews)","Used","$2,172 price drop","$67,995"
"60","2021 GMC Yukon Denali","37,805 mi.",4.8,"(992 reviews)","Used","$326 price drop","$84,489"
"61","2013 Lexus ES 350 Base","13,407 mi.",2.8,"(95 reviews)","Used","$1,255 price drop","$14,899"
"62","2020 Mazda Mazda6 Sport","54,767 mi.",4.5,"(15 reviews)","Used","$3,700 price drop","$29,998"
"63","2010 Lexus ES 350 Base","35,332 mi.",4.6,"(922 reviews)","Used","$500 price drop","$9,799"
"64","2019 Honda Pilot EX-L","95,734 mi.",4.6,"(670 reviews)","Used","$600 price drop","$36,631"
"65","2013 Mercedes-Benz S-Class S 550 4MATIC","18,074 mi.",4.7,"(660 reviews)","Used","$499 price drop","$25,777"
"66","2020 Mercedes-Benz G-Class G 550 4MATIC","84,647 mi.",4.9,"(312 reviews)","Used","$153 price drop","$149,990"
"67","2019 Mercedes-Benz C-Class C 300","26,657 mi.",4.3,"(327 reviews)","Used","$454 price drop","$42,000"
"68","2016 Toyota Camry SE","Mileage",4.8,"(4,829 reviews)","Used","$567 price drop","$18,998"
"69","2021 BMW X3 M AWD","49,653 mi.",4.8,"(1,614 reviews)","Used","$1,000 price drop","$73,980"
"70","2021 Mercedes-Benz AMG GLE 53 Base","18,108 mi.",4.7,"(155 reviews)","Used","$3,000 price drop","$88,998"
"71","2020 Honda Accord Sport 1.5T","6,356 mi.",4,"(0 reviews)","Used","$400 price drop","$29,469"
